network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,OR,hogg pass ,Parks Creek-Lost Lake (170900040201),1978-10-01,2023-05-07,44.42,-121.86,1460,Linn,526
SNTL,OR,irish taylor ,Deer Creek (170703010106),1978-10-01,2023-05-07,43.8,-121.95,1689,Deschutes,545
SNTL,OR,jump off joe ,Sevenmile Creek-South Santiam River (170900060201),1978-10-01,2023-05-07,44.39,-122.17,1073,Linn,552
SNTL,OR,lake creek r.s. ,Lake Creek (170501160102),1978-10-01,2023-05-07,44.21,-118.64,1597,Grant,563
SNTL,OR,little meadows ,Headwaters Quartzville Creek (170900060301),1978-10-01,2023-05-07,44.61,-122.23,1225,Linn,584
SNTL,OR,lucky strike ,West Birch Creek (170701030606),1978-10-01,2023-05-07,45.27,-118.85,1515,Umatilla,605
SNTL,OR,mud ridge ,Upper Salmon River (170800010302),1978-10-01,2023-05-07,45.25,-121.74,1241,Clackamas,655
SNTL,OR,north fork ,Middle Bull Run River (170800010503),1978-10-01,2023-05-07,45.55,-122,933,Multnomah,666
SNTL,OR,red hill ,Lower Middle Fork Hood River (170701050505),1978-10-01,2023-05-07,45.46,-121.7,1344,Hood River,712
SNTL,OR,saddle mountain ,Headwaters Tualatin River (170900100201),1978-10-01,2023-05-07,45.54,-123.37,948,Washington,726
SNTL,OR,santiam jct. ,Parks Creek-Lost Lake (170900040201),1978-10-01,2023-05-07,44.44,-121.95,1140,Linn,733
SNTL,OR,silvies ,Mud Creek (171200030201),1978-10-01,2023-05-07,42.75,-118.69,2131,Harney,759
SNTL,OR,snow mountain ,Crowsfoot Creek-Emigrant Creek (171200020501),1978-10-01,2023-05-07,43.95,-119.54,1899,Harney,767
SNTL,OR,summer rim ,Headwaters Sycan River (180102020103),1978-10-01,2023-05-07,42.7,-120.8,2158,Lake,800
SNTL,OR,summit lake ,Summit Lake (170703020203),1978-10-01,2023-05-07,43.45,-122.14,1710,Klamath,801
SNTL,OR,taylor butte ,Chester Spring-Sycan River (180102020606),1978-10-01,2023-05-07,42.69,-121.43,1533,Klamath,810
SNTL,OR,taylor green ,South Fork Catherine Creek (170601040502),1978-10-01,2023-05-07,45.08,-117.55,1750,Baker,812
SNTL,OR,tipton ,Upper North Fork Burnt River (170502020101),1978-10-01,2023-05-07,44.66,-118.43,1570,Baker,821
SNTL,OR,wolf creek ,Upper Wolf Creek (170502030601),1978-10-01,2023-05-07,45.07,-118.15,1716,Union,873
SNTL,UT,beaver divide ,Shingle Creek-Provo River (160202030105),1978-10-01,2023-05-07,40.61,-111.1,2524,Summit,330
SNTL,UT,ben lomond peak ,Cutler Creek-North Fork Ogden River (160201020302),1978-10-01,2023-05-07,41.38,-111.94,2344,Weber,332
